name,latitude,longitude,population
Siikainen,61.8769,21.819924,1560
Siikajoki,64.81545,24.76677,5496
Siikalatva,64.27163,25.86645,5747
Siilinjärvi,63.085685,27.64824,21731
Simo,65.662619,25.064864,3267
Sipoo,60.376721,25.260191,19217
Siuntio,60.13887,24.226915,6191
Sodankylä,67.41504,26.59288,8801
Soini,62.873469,24.205324,2249
Somero,60.633157,23.516982,9133
Sonkajärvi,63.672532,27.523183,4307
Sotkamo,64.13229,28.403585,10561
Sottunga,60.132771,20.667259,100
Sulkava,61.78578,28.363181,2757
Sund,60.223572,20.16362,1033
Suomussalmi,64.901105,29.00588,8411
Suonenjoki,62.632818,27.109937,7405
Sysmä,61.501815,25.68206,4069
Säkylä,61.05062,22.345205,4491
Taipalsaari,61.158295,28.06702,4807
Taivalkoski,65.577905,28.24417,4215
Taivassalo,60.560767,21.608999,1639
Tammela,60.80691,23.759515,6338
Tampere,61.497815,23.762265,224061
Tervo,62.956725,26.761735,1618
Tervola,66.08813,24.81107,3217
Teuva,62.484847,21.731505,5513
Tohmajärvi,62.224743,30.336742,4766
Toholampi,63.773585,24.24994,3333
Toivakka,62.097295,26.08123,2452
Tornio,65.84615,24.14993,22261
Turku,60.452805,22.251551,184866
Tuusniemi,62.80344,28.4994,2735
Tuusula,60.403298,25.025975,38329
Tyrnävä,64.763503,25.651559,6764
Ulvila,61.428095,21.871769,13337
Urjala,61.078695,23.529807,4956
Utajärvi,64.740102,26.457534,2884
Utsjoki,69.907867,27.026083,1255
Uurainen,62.499668,25.440316,3639
Uusikaarlepyy,63.5226,22.531275,7549
Uusikaupunki,60.80506,21.427349,15539
Vaala,64.557848,26.834128,3107
Vaasa,63.098385,21.62624,67292
Valkeakoski,61.266222,24.031582,21247
Valtimo,63.675446,28.826477,2343
Vantaa,60.289348,25.029676,212704
Varkaus,62.313675,27.88505,21749
Vehmaa,60.686319,21.716895,2308
Vesanto,62.930615,26.411057,2218
Vesilahti,61.30993,23.617832,4491
Veteli,63.473257,23.78932,3322
Vieremä,63.742805,27.002092,3787
Vihti,60.418226,24.340545,28958
Viitasaari,63.088372,25.861098,6723
Vimpeli,63.15917,23.83321,3090
Virolahti,60.58785,27.708096,3373
Virrat,62.250793,23.782074,7080
Vårdö,60.242458,20.37208,440
Vöyri,63.131269,22.252743,6710
Ylitornio,66.326255,23.677035,4320
Ylivieska,64.074284,24.537461,15008
Ylöjärvi,61.554755,23.574351,32499
Ypäjä,60.80466,23.281096,2440
Ähtäri,62.559352,24.085723,6120
Äänekoski,62.617039,25.684345,19778
